SoilIndex	wBirch	bSpruce	jPine	tAspen	bFir
10412	0	0	0	116	0
10415	124	0	0	118	130
10418	130	0	98	120	136
10421	129	0	120	113	134
412	0	0	0	0	0
415	0	0	0	0	0
418	0	0	0	88	120
421	0	0	107	93	126
11412	110	0	0	123	0
11415	131	0	0	121	141
11418	132	73	114	122	139
11421	131	101	124	114	136
1412	0	0	0	0	0
1415	0	0	0	93	86
1418	0	0	0	103	129
1421	0	0	114	100	129
12412	121	0	0	126	121
12415	134	0	0	123	145
12418	133	112	119	123	141
12421	132	119	126	115	137
2412	0	0	0	82	0
2415	0	0	0	103	120
2418	59	0	97	108	132
2421	68	0	118	104	131
10212	0	0	0	117	0
10215	0	0	0	122	125
10218	117	0	100	123	132
10221	116	0	121	114	131
212	0	0	0	103	0
215	0	0	0	113	0
218	0	0	0	115	0
221	0	0	107	108	0
11212	0	0	0	128	0
11215	0	0	0	125	138
11218	122	0	115	124	136
11221	120	96	124	116	133
1212	0	0	0	118	0
1215	0	0	0	118	0
1218	0	0	0	118	0
1221	0	0	115	110	0
12212	0	0	0	130	127
12215	114	0	0	126	143
12218	125	105	119	126	138
12221	123	115	126	117	134
2212	0	0	0	122	0
2215	0	0	0	120	0
2218	0	0	99	120	0
2221	0	62	118	112	0
10312	0	0	0	90	0
10315	0	0	0	110	0
10318	122	0	0	113	129
10321	122	0	104	107	130
312	0	0	0	0	0
315	0	0	0	0	0
318	0	0	0	0	0
321	0	0	0	68	116
11312	0	0	0	116	0
11315	116	0	0	116	128
11318	126	0	75	116	134
11321	126	67	113	110	132
1312	0	0	0	0	0
1315	0	0	0	0	0
1318	0	0	0	77	117
1321	0	0	85	83	122
12312	66	0	0	120	0
12315	124	0	0	118	136
12318	128	76	101	119	137
12321	128	88	116	112	134
2312	0	0	0	0	0
2315	0	0	0	76	84
2318	0	0	0	91	123
2321	0	0	99	92	125
10112	0	0	0	0	0
10115	0	0	0	81	0
10118	89	0	0	98	111
10121	105	0	0	97	121
112	0	0	0	0	0
115	0	0	0	0	0
118	0	0	0	0	0
121	0	0	0	0	76
11112	0	0	0	91	0
11115	0	0	0	104	87
11118	112	0	0	106	125
11121	115	0	76	102	126
1112	0	0	0	0	0
1115	0	0	0	0	0
1118	0	0	0	0	70
1121	0	0	0	58	107
12112	0	0	0	109	0
12115	87	0	0	109	119
12118	118	0	0	111	129
12121	119	60	90	105	128
2112	0	0	0	0	0
2115	0	0	0	0	0
2118	0	0	0	63	101
2121	0	0	56	70	113
